tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,w_1stServe%,l_1stServe%,w_2ndIn,l_2ndIn,w_1stServePWon%,l_1stServePWon%,w_2ndServePWon%,l_2ndServePWon%,w_1stServeReturnPWon,l_1stServeReturnPWon,w_2ndServeReturnPWon,l_2ndServeReturnPWon,w_1stServeReturnPWon%,l_1stServeReturnPWon%,w_BreakPWon%,l_BreakPWon%,w_BreakPWon,l_BreakPWon,w_BreakPConverted%,l_BreakPConverted%
2016-1049,Auckland,Hard,32,I,20160104,300,201585,5.0,,Sloane Stephens,R,170.0,USA,22.7926078029,30.0,1715.0,201504,,,Julia Goerges,R,180.0,GER,27.170431211500002,50.0,1040.0,7-5 6-2,3,F,76.0,1.0,0.0,57.0,36.0,28.0,15.0,10.0,2.0,2.0,6.0,2.0,59.0,35.0,26.0,11.0,10.0,3.0,6.0,0.5882352941176471,0.509090909090909,14.0,27.0,1.0,0.5,0.5714285714285714,0.4074074074074074,14.0,0.0,16.0,6.0,0.5,0.0,1.0,0.5,5.0,0.0,0.5,1.0
2016-1049,Auckland,Hard,32,I,20160104,299,201504,,,Julia Goerges,R,180.0,GER,27.170431211500002,50.0,1040.0,201481,,Q,Tamira Paszek,R,165.0,AUT,25.078713210100002,172.0,312.0,6-4 6-2,3,SF,66.0,7.0,1.0,46.0,26.0,22.0,12.0,9.0,0.0,1.0,0.0,0.0,44.0,27.0,19.0,5.0,9.0,2.0,6.0,0.6486486486486487,0.6153846153846154,26.0,30.0,0.6875,0.6875,0.38461538461538464,0.3333333333333333,15.0,15.0,20.0,16.0,0.3125,0.3125,0.42857142857142855,0.5,5.0,4.0,0.5,0.5714285714285714
2016-1049,Auckland,Hard,32,I,20160104,298,201585,5.0,,Sloane Stephens,R,170.0,USA,22.7926078029,30.0,1715.0,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,25.4839151266,17.0,2641.0,6-2 7-6(3),3,SF,100.0,5.0,1.0,75.0,60.0,40.0,8.0,10.0,6.0,7.0,1.0,3.0,68.0,43.0,26.0,12.0,10.0,4.0,7.0,0.6,0.6274509803921569,20.0,19.0,0.8666666666666667,0.5,0.35,0.21052631578947367,16.0,4.0,15.0,13.0,0.5,0.13333333333333333,1.0,0.6428571428571429,5.0,0.0,0.35714285714285715,0.0
2016-1049,Auckland,Hard,32,I,20160104,297,201504,,,Julia Goerges,R,180.0,GER,27.170431211500002,50.0,1040.0,211702,,,Nao Hibino,R,,JPN,21.1006160164,66.0,907.0,6-7(3) 6-2 6-4,3,QF,125.0,7.0,3.0,83.0,45.0,41.0,21.0,15.0,0.0,0.0,4.0,2.0,91.0,61.0,44.0,15.0,15.0,2.0,5.0,0.6790123456790124,0.6146788990825688,26.0,42.0,0.7818181818181819,0.6119402985074627,0.38461538461538464,0.4523809523809524,26.0,12.0,23.0,16.0,0.3880597014925373,0.21818181818181817,0.42857142857142855,0.6153846153846154,5.0,4.0,0.38461538461538464,0.5714285714285714
2016-1049,Auckland,Hard,32,I,20160104,296,201481,,Q,Tamira Paszek,R,165.0,AUT,25.078713210100002,172.0,312.0,201465,,Q,Kirsten Flipkens,R,165.0,BEL,29.9822039699,85.0,725.0,6-4 6-7(3) 6-3,3,QF,171.0,6.0,8.0,138.0,88.0,55.0,22.0,16.0,12.0,17.0,5.0,8.0,98.0,60.0,32.0,18.0,15.0,7.0,14.0,0.6153846153846154,0.5,20.0,30.0,0.875,0.6,0.6,0.4666666666666667,12.0,4.0,16.0,8.0,0.4,0.125,1.0,0.4,3.0,0.0,0.6,0.0
2016-1049,Auckland,Hard,32,I,20160104,295,201496,3.0,,Caroline Wozniacki,R,177.0,DEN,25.4839151266,17.0,2641.0,201567,,,Alexandra Dulgheru,R,,ROU,26.598220397,69.0,879.0,6-1 6-0,3,QF,52.0,1.0,0.0,37.0,24.0,20.0,9.0,7.0,2.0,2.0,0.0,5.0,35.0,24.0,8.0,3.0,6.0,1.0,6.0,0.6666666666666666,0.5,13.0,19.0,0.6923076923076923,0.42105263157894735,0.6153846153846154,0.21052631578947367,11.0,8.0,15.0,5.0,0.5789473684210527,0.3076923076923077,1.0,0.45454545454545453,6.0,0.0,0.5454545454545454,0.0
2016-1049,Auckland,Hard,32,I,20160104,294,201585,5.0,,Sloane Stephens,R,170.0,USA,22.7926078029,30.0,1715.0,201648,,Q,Naomi Broady,U,,GBR,25.8480492813,122.0,500.0,7-6(6) 6-3,3,QF,96.0,3.0,1.0,83.0,49.0,36.0,19.0,11.0,6.0,7.0,3.0,3.0,71.0,36.0,27.0,18.0,10.0,6.0,8.0,0.6029411764705882,0.6060606060606061,27.0,26.0,0.5853658536585366,0.375,0.3333333333333333,0.4230769230769231,25.0,17.0,15.0,18.0,0.625,0.4146341463414634,0.45454545454545453,0.1111111111111111,8.0,6.0,0.8888888888888888,0.5454545454545454
2016-1049,Auckland,Hard,32,I,20160104,293,211702,,,Nao Hibino,R,,JPN,21.1006160164,66.0,907.0,214082,,,Darya Kasatkina,R,,RUS,18.6611909651,75.0,812.0,7-5 2-6 7-5,3,R16,132.0,3.0,7.0,107.0,70.0,45.0,17.0,16.0,11.0,16.0,2.0,3.0,85.0,64.0,44.0,8.0,16.0,2.0,7.0,0.6774193548387096,0.6557377049180327,20.0,21.0,0.6190476190476191,0.575,0.5,0.3333333333333333,17.0,16.0,14.0,10.0,0.425,0.38095238095238093,0.7,0.2857142857142857,5.0,3.0,0.7142857142857143,0.3
2016-1049,Auckland,Hard,32,I,20160104,292,201504,,,Julia Goerges,R,180.0,GER,27.170431211500002,50.0,1040.0,201366,7.0,,Barbora Zahlavova Strycova,R,164.0,CZE,29.7713894593,42.0,1170.0,6-4 7-6(7),3,R16,108.0,5.0,3.0,75.0,46.0,34.0,11.0,11.0,8.0,11.0,1.0,4.0,83.0,63.0,37.0,10.0,11.0,6.0,10.0,0.6590909090909091,0.6507936507936508,15.0,22.0,0.7586206896551724,0.5365853658536586,0.8666666666666667,0.4090909090909091,19.0,7.0,13.0,2.0,0.4634146341463415,0.2413793103448276,1.0,0.6,4.0,0.0,0.4,0.0
2016-1049,Auckland,Hard,32,I,20160104,291,201481,,Q,Tamira Paszek,R,165.0,AUT,25.078713210100002,172.0,312.0,201320,4.0,,Svetlana Kuznetsova,R,174.0,RUS,30.521560574899997,25.0,2006.0,6-2 6-3,3,R16,93.0,3.0,4.0,74.0,42.0,31.0,15.0,9.0,11.0,12.0,2.0,2.0,58.0,37.0,25.0,5.0,8.0,5.0,9.0,0.5675675675675675,0.5681818181818182,16.0,19.0,0.8571428571428571,0.56,0.6875,0.2631578947368421,11.0,3.0,14.0,5.0,0.44,0.14285714285714285,1.0,0.16666666666666666,5.0,0.0,0.8333333333333334,1.0
